M0_Ftr0_v,M0_Ftr1_v,M0_Ftr2_v,M0_Ftr3_v,M0_Ftr4_v,M1_Ftr5_v,M1_Ftr6_v,M1_Ftr7_v,M2_Ftr8_v,Result
1.73,3076.11,456.71,160.13,464.15,47.09,194.19,384.03,206062.58,Fail
1.2,3310.27,368.22,189.71,353.78,53.36,200.93,494.16,188762.76,Fail
1.25,3701.19,454.29,150.69,444.71,56.53,182.89,461.63,193678.26,Success
1.68,3474.82,440.71,209.14,332.63,55.62,177.36,437.0,203815.81,Success
1.59,3415.11,439.3,178.64,379.27,46.48,176.84,403.48,203177.97,Success
1.52,3490.09,548.44,159.78,395.75,54.58,188.46,438.63,215074.89,Success
1.61,3241.04,409.65,132.19,377.38,42.75,194.47,413.45,199327.39,Success
1.49,3808.39,503.64,163.01,462.53,50.13,177.21,437.07,184839.53,Success
1.55,3325.11,547.07,146.45,357.25,58.1,200.29,423.4,202398.52,Success
1.5,3161.24,524.99,153.85,396.25,54.06,199.3,399.04,194691.57,Success
1.52,3793.99,460.48,189.31,372.23,51.38,186.64,303.05,202171.55,Success
1.74,3226.04,516.18,225.58,436.07,46.33,185.72,450.59,210166.33,Success
1.77,3134.31,427.22,144.27,423.87,50.31,194.04,487.76,199821.78,Success
1.63,3468.06,423.42,165.52,364.33,49.6,191.19,461.69,204456.68,Success
1.75,3175.21,466.82,175.63,451.16,45.99,193.41,402.26,204185.0,Success
1.56,3142.61,612.97,114.68,410.91,42.21,192.23,357.33,210797.21,Fail
1.63,3661.31,407.35,197.84,366.23,46.83,195.26,344.05,216561.96,Success
1.49,3689.07,390.96,192.39,350.01,52.58,185.2,336.31,194602.98,Success
1.55,3834.94,578.21,248.51,449.24,52.9,195.21,435.28,203548.67,Fail
1.7,3753.96,412.95,117.61,392.16,45.6,198.94,456.42,210479.07,Fail
1.45,3599.14,431.38,229.68,321.74,43.87,182.07,446.79,199505.37,Success
1.76,3380.89,328.66,150.69,286.81,53.17,188.08,392.14,191315.99,Fail
